time,temperature,humidity,pressure,wind
00:00,16.1,83,1008.9,4.7
00:30,16.7,78,1011.7,5.2
01:00,17.3,84,1008.6,4.8
01:30,13.8,84,1011.6,4.3
02:00,18.0,77,1012.1,4.4
02:30,18.4,76,1013.4,5.4
03:00,18.8,83,1015.7,4.5
03:30,19.2,73,1013.1,4.7
04:00,18.6,35,1013.8,5.9
04:30,19.7,74,1015.6,6.4
05:00,20.5,74,1013.7,5.8
05:30,21.0,63,1013.6,6.3
06:00,30.8,62,987.6,14.0
06:30,22.9,64,1014.5,3.7
07:00,22.4,64,1016.5,3.6
07:30,25.5,62,1018.4,4.5
08:00,25.1,65,1017.5,1.9
08:30,24.3,55,1015.9,3.2
09:00,25.1,57,1017.7,13.7
09:30,25.7,54,1017.3,2.9
10:00,27.1,58,1014.5,2.9
10:30,26.5,51,1016.7,2.4
11:00,25.1,54,1017.5,2.3
11:30,26.8,53,1012.9,0.4
12:00,27.5,57,1017.2,1.5
12:30,31.4,58,1017.8,1.2
13:00,27.2,61,1015.2,3.0
13:30,26.5,64,1015.0,2.5
14:00,26.5,52,1015.0,2.5
14:30,26.3,55,1018.2,2.1
15:00,26.1,57,1011.8,3.9
15:30,25.9,59,1016.8,3.6
16:00,24.0,68,1013.6,2.9
16:30,23.0,66,1014.8,3.2
17:00,22.3,69,1033.2,3.0
17:30,22.1,68,1014.3,4.8
18:00,21.8,59,1010.8,3.9
18:30,21.6,69,1015.5,5.2
19:00,21.4,76,1012.1,5.3
19:30,20.2,87,1012.2,5.4
20:00,18.4,72,1011.8,6.2
20:30,18.4,74,1012.2,5.5
21:00,18.6,79,1012.1,5.1
21:30,19.5,79,1011.9,4.3
22:00,17.6,80,1010.3,5.1
22:30,16.3,81,1007.1,3.9
23:00,17.7,77,1011.4,2.7
23:30,17.7,78,1008.0,3.6
